Name,City,Beds,Hospital staff,Patients,Utilization (%)
Massachusetts Maritime Academy,Buzzards Bay,1615,405,224,38.9
Wheaton College,Norton,1631,189,105,18.0
Bridgewater State University,Bridgewater,3294,124,69,5.8
Nichols College,Dudley,973,72,40,11.5
Stonehill College,Easton,2198,544,303,38.5
Bay Path University,Longmeadow,400,0,0,0.0
Dean College,Franklin,1001,91,51,14.1
Westfield State University,Westfield,2745,124,69,7.0
College of Our Lady of the Elms,Chicopee,405,25,14,9.6
Springfield College,Springfield,2144,447,248,32.4
American International College,Springfield,860,144,80,26.0
Western New England University,Springfield,2000,298,166,23.2
University of Massachusetts-Dartmouth,North Dartmouth,4018,303,168,11.7
University of Massachusetts-Dartmouth,Fall River,4018,324,180,12.5
Bard College at Simon's Rock,Great Barrington,400,16,9,6.2
College of the Holy Cross,Worcester,2507,30,16,1.8
Curry College,Milton,1543,361,200,36.3
Tufts University,Medford,3695,397,220,16.6
Newbury College,Brookline,322,0,0,0.0
Boston College,Chestnut Hill,5635,611,339,16.8
Harvard University,Boston,320,74,41,35.9
Harvard University,Cambridge,13254,256,142,3.0
Boston University,Boston,208,0,0,0.0
Boston University,Boston,11524,0,0,0.0
MCPHS University,Boston,1244,317,176,39.6
Wentworth Institute of Technology,Boston,2193,481,267,34.1
Simmons University,Boston,1098,255,142,36.1
Northeastern University,Boston,9517,387,215,6.3
Emmanuel College,Boston,1395,255,141,28.3
Clark University,Worcester,1664,0,0,0.0
Mount Holyoke College,South Hadley,2193,125,69,8.8
Worcester State University,Worcester,1577,69,38,6.7
Becker College,Worcester,866,178,99,31.9
Eastern Nazarene College,Quincy,594,100,56,26.2
Worcester Polytechnic Institute,Worcester,2240,535,297,37.1
Wellesley College,Wellesley,2209,101,56,7.1
Franklin W Olin College of Engineering,Needham,354,37,20,16.1
Assumption College,Worcester,1859,0,0,0.0
Framingham State University,Framingham,1978,198,110,15.5
Babson College,Wellesley,1890,139,77,11.4
Hellenic College-Holy Cross Greek Orthodox School of Theology,Brookline,255,0,0,0.0
Pine Manor College,Chestnut Hill,450,102,57,35.3
Smith College,Northampton,2397,88,49,5.7
Hampshire College,Amherst,1182,0,0,0.0
Anna Maria College,Paxton,634,26,14,6.3
Bentley University,Waltham,3421,211,117,9.5
University of Massachusetts-Amherst,Amherst,14491,56,31,0.6
Lasell College,Newton,1325,167,93,19.6
Regis College,Weston,774,94,52,18.8
Emerson College,Boston,1953,261,145,20.7
Suffolk University,Boston,1653,230,127,21.5
Massachusetts Institute of Technology,Cambridge,5975,652,362,16.9
Brandeis University,Waltham,2950,0,0,0.0
Amherst College,Amherst,1837,16,9,1.3
Lesley University,Cambridge,888,113,63,19.8
Montserrat College of Art,Beverly,290,19,11,10.3
Endicott College,Beverly,2547,140,78,8.5
Fitchburg State University,Fitchburg,1732,210,117,18.8
Gordon College,Wenham,1572,50,28,4.9
Gordon-Conwell Theological Seminary,South Hamilton,364,70,39,29.9
University of Massachusetts-Lowell,Lowell,4800,497,277,16.1
Merrimack College,North Andover,2613,259,144,15.4
Massachusetts College of Liberal Arts,North Adams,1020,188,104,28.6
Williams College,Williamstown,2014,0,0,0.0
Northpoint Bible College,Haverhill,500,116,64,36.0
Salem State University,Salem,2282,250,139,17.0
