Name,City,Beds,Hospital staff,Patients,Utilization (%)
Massachusetts Maritime Academy,Buzzards Bay,1615,417,229,40.0
Wheaton College,Norton,1631,281,157,26.8
Bridgewater State University,Bridgewater,3294,143,80,6.7
Nichols College,Dudley,973,72,40,11.5
Stonehill College,Easton,2198,474,272,33.9
Bay Path University,Longmeadow,400,0,0,0.0
Dean College,Franklin,1001,91,51,14.1
Westfield State University,Westfield,2745,124,69,7.0
College of Our Lady of the Elms,Chicopee,405,100,62,40.0
Springfield College,Springfield,2144,560,298,40.0
American International College,Springfield,860,225,119,40.0
Western New England University,Springfield,2000,112,75,9.3
University of Massachusetts Dartmouth,North Dartmouth,4018,379,210,14.6
University of Massachusetts Dartmouth Center for Innovation and Entrepreneurship,Fall River,4018,334,186,12.9
Bard College at Simon's Rock,Great Barrington,400,16,9,6.2
College of the Holy Cross,Worcester,2507,0,0,0.0
Curry College,Milton,1543,392,225,39.9
Tufts University,Medford,3695,499,277,21.0
Newbury College,Brookline,322,74,55,40.0
Boston College,Chestnut Hill,5635,484,245,12.9
Harvard University,Boston,320,71,57,40.0
Harvard College,Cambridge,13254,140,79,1.6
Boston University School of Medicine,Boston,208,51,32,39.9
Boston University,Boston,11524,39,22,0.5
Massachusetts College of Pharmacy and Health Science,Boston,1244,344,154,40.0
Wentworth Institute of Technology,Boston,2193,541,332,39.8
Simmons College,Boston,1098,277,162,39.9
Northeastern University,Boston,9517,374,204,6.0
Emmanuel College,Boston,1395,369,189,40.0
Clark University,Worcester,1664,152,75,13.6
Mount Holyoke College,South Hadley,2193,125,69,8.8
Worcester State University,Worcester,1577,69,38,6.7
Becker College,Worcester,866,223,123,39.9
Eastern Nazarene College,Quincy,594,163,75,40.0
Worcester Polytechnic Institute,Worcester,2240,570,326,40.0
Wellesley College,Wellesley,2209,101,56,7.1
Franklin W. Olin College of Engineering,Needham,354,90,52,40.1
Assumption College,Worcester,1859,26,14,2.1
Framingham State University,Framingham,1978,198,110,15.5
Babson College,Wellesley,1890,86,45,6.9
Hellenic College/Holy Cross,Brookline,255,68,34,40.0
Pine Manor College,Chestnut Hill,450,109,71,40.0
Smith College,Northampton,2397,88,49,5.7
Hampshire College,Amherst,1182,0,0,0.0
Anna Maria College,Paxton,634,0,0,0.0
Bentley University,Waltham,3421,348,193,15.8
University of Massachusetts Amherst,Amherst,14491,72,40,0.7
Lasell College,Newton,1325,167,93,19.6
Regis College,Weston,774,94,52,18.8
Emerson College,Boston,1953,500,281,39.9
Suffolk University,Boston,1653,442,219,39.9
Massachusetts Institute of Technology,Cambridge,5975,99,77,2.9
Brandeis University,Waltham,2950,30,16,1.5
Amherst College,Amherst,1837,0,0,0.0
Lesley University,Cambridge,888,229,126,39.9
Montserrat College of Art,Beverly,290,76,40,40.0
Endicott College,Beverly,2547,77,45,4.7
Fitchburg State University,Fitchburg,1732,278,155,25.0
Gordon College,Wenham,1572,50,28,4.9
Gordon-Conwell Theological Seminary,South Hamilton,364,70,39,29.9
University of Massachusetts Lowell,Lowell,4800,497,277,16.1
Merrimack College,North Andover,2613,298,167,17.7
Massachusetts College of Liberal Arts,North Adams,1020,0,0,0.0
Williams College,Williamstown,2014,188,104,14.4
Northpoint Bible College,Haverhill,500,130,70,40.0
Salem State University,Salem,2282,295,165,20.1
