Name,City,Beds,Hospital staff,Patients,Utilization (%)
Massachusetts Maritime Academy,Buzzards Bay,1615,499,232,45.2
Wheaton College,Norton,1631,335,157,30.1
Bridgewater State University,Bridgewater,3294,166,77,7.3
Nichols College,Dudley,973,86,40,12.9
Stonehill College,Easton,2198,518,242,34.5
Dean College,Franklin,1001,109,51,15.9
Westfield State University,Westfield,2745,167,78,8.9
Springfield College,Springfield,2144,1085,0,50.6
American International College,Springfield,860,7,509,60.0
Western New England University,Springfield,2000,96,45,7.0
University of Massachusetts Dartmouth,North Dartmouth,4018,451,210,16.4
University of Massachusetts Dartmouth Center for Innovation and Entrepreneurship,Fall River,4018,397,186,14.5
College of the Holy Cross,Worcester,2507,0,0,0.0
Curry College,Milton,1543,722,135,55.5
Tufts University,Medford,3695,584,220,21.7
Boston College,Chestnut Hill,5635,795,119,16.2
Harvard College,Cambridge,13254,0,0,0.0
Boston University,Boston,11524,0,0,0.0
Massachusetts College of Pharmacy and Health Science,Boston,1244,0,746,59.9
Wentworth Institute of Technology,Boston,2193,660,89,34.1
Simmons College,Boston,1098,371,288,60.0
Northeastern University,Boston,9517,289,135,4.4
Emmanuel College,Boston,1395,837,0,60.0
Clark University,Worcester,1664,35,16,3.0
Mount Holyoke College,South Hadley,2193,148,69,9.8
Worcester State University,Worcester,1577,82,38,7.6
Becker College,Worcester,866,212,99,35.9
Eastern Nazarene College,Quincy,594,105,251,59.9
Worcester Polytechnic Institute,Worcester,2240,907,423,59.3
Wellesley College,Wellesley,2209,120,56,7.9
Assumption College,Worcester,1859,0,0,0.0
Framingham State University,Framingham,1978,235,110,17.4
Babson College,Wellesley,1890,209,97,16.1
Smith College,Northampton,2397,105,49,6.4
Hampshire College,Amherst,1182,0,0,0.0
Anna Maria College,Paxton,634,0,0,0.0
Bentley University,Waltham,3421,164,76,7.0
University of Massachusetts Amherst,Amherst,14491,0,0,0.0
Lasell College,Newton,1325,234,109,25.8
Regis College,Weston,774,112,52,21.1
Emerson College,Boston,1953,858,145,51.3
Suffolk University,Boston,1653,503,489,60.0
Massachusetts Institute of Technology,Cambridge,5975,0,0,0.0
Brandeis University,Waltham,2950,0,0,0.0
Amherst College,Amherst,1837,67,31,5.3
Lesley University,Cambridge,888,328,205,60.0
Endicott College,Beverly,2547,182,85,10.4
Fitchburg State University,Fitchburg,1732,350,164,29.6
Gordon College,Wenham,1572,59,28,5.5
University of Massachusetts Lowell,Lowell,4800,591,277,18.0
Merrimack College,North Andover,2613,358,144,19.2
Massachusetts College of Liberal Arts,North Adams,1020,0,0,0.0
Williams College,Williamstown,2014,224,104,16.2
Northpoint Bible College,Haverhill,500,189,111,60.0
Salem State University,Salem,2282,351,165,22.6
