Name,City,Beds,Hospital staff,Patients,Utilization (%)
Massachusetts Maritime Academy,Buzzards Bay,1615,420,232,40.3
Wheaton College,Norton,1631,281,157,26.8
Bridgewater State University,Bridgewater,3294,140,77,6.5
Nichols College,Dudley,973,72,40,11.5
Stonehill College,Easton,2198,435,242,30.8
Bay Path University,Longmeadow,400,0,0,0.0
Dean College,Franklin,1001,91,51,14.1
Westfield State University,Westfield,2745,124,69,7.0
College of Our Lady of the Elms,Chicopee,405,204,120,80.0
Springfield College,Springfield,2144,267,147,19.3
American International College,Springfield,860,446,242,80.0
Western New England University,Springfield,2000,80,45,6.2
University of Massachusetts Dartmouth,North Dartmouth,4018,379,210,14.6
University of Massachusetts Dartmouth Center for Innovation and Entrepreneurship,Fall River,4018,334,186,12.9
Bard College at Simon's Rock,Great Barrington,400,16,9,6.2
College of the Holy Cross,Worcester,2507,0,0,0.0
Curry College,Milton,1543,386,219,39.2
Tufts University,Medford,3695,397,220,16.6
Newbury College,Brookline,322,158,100,80.1
Boston College,Chestnut Hill,5635,159,88,4.3
Harvard University,Boston,320,163,93,80.0
Harvard College,Cambridge,13254,137,76,1.6
Boston University School of Medicine,Boston,208,106,60,79.8
Boston University,Boston,11524,0,0,0.0
Massachusetts College of Pharmacy and Health Science,Boston,1244,660,335,79.9
Wentworth Institute of Technology,Boston,2193,161,89,11.3
Simmons College,Boston,1098,557,321,79.9
Northeastern University,Boston,9517,319,176,5.2
Emmanuel College,Boston,1395,51,42,6.6
Clark University,Worcester,1664,30,16,2.7
Mount Holyoke College,South Hadley,2193,125,69,8.8
Worcester State University,Worcester,1577,69,38,6.7
Becker College,Worcester,866,178,99,31.9
Eastern Nazarene College,Quincy,594,308,167,79.9
Worcester Polytechnic Institute,Worcester,2240,737,409,51.1
Wellesley College,Wellesley,2209,101,56,7.1
Franklin W. Olin College of Engineering,Needham,354,176,97,77.1
Assumption College,Worcester,1859,26,14,2.1
Framingham State University,Framingham,1978,198,110,15.5
Babson College,Wellesley,1890,0,0,0.0
Hellenic College/Holy Cross,Brookline,255,124,80,80.0
Pine Manor College,Chestnut Hill,450,244,116,80.0
Smith College,Northampton,2397,88,49,5.7
Hampshire College,Amherst,1182,0,0,0.0
Anna Maria College,Paxton,634,0,0,0.0
Bentley University,Waltham,3421,348,193,15.8
University of Massachusetts Amherst,Amherst,14491,72,40,0.7
Lasell College,Newton,1325,167,93,19.6
Regis College,Weston,774,94,52,18.8
Emerson College,Boston,1953,292,163,23.2
Suffolk University,Boston,1653,851,471,79.9
Massachusetts Institute of Technology,Cambridge,5975,0,0,0.0
Brandeis University,Waltham,2950,30,16,1.5
Amherst College,Amherst,1837,0,0,0.0
Lesley University,Cambridge,888,232,129,40.6
Montserrat College of Art,Beverly,290,150,82,80.0
Endicott College,Beverly,2547,0,0,0.0
Fitchburg State University,Fitchburg,1732,278,155,25.0
Gordon College,Wenham,1572,53,31,5.3
Gordon-Conwell Theological Seminary,South Hamilton,364,0,0,0.0
University of Massachusetts Lowell,Lowell,4800,497,277,16.1
Merrimack College,North Andover,2613,259,144,15.4
Massachusetts College of Liberal Arts,North Adams,1020,0,0,0.0
Williams College,Williamstown,2014,188,104,14.4
Northpoint Bible College,Haverhill,500,239,132,74.2
Salem State University,Salem,2282,295,165,20.1
