Name,City,Beds,Hospital staff,Patients,Utilization (%)
Massachusetts Maritime Academy,Buzzards Bay,1615,319,176,30.6
Wheaton College,Norton,1631,281,157,26.8
Bridgewater State University,Bridgewater,3294,241,133,11.3
Nichols College,Dudley,973,72,40,11.5
Stonehill College,Easton,2198,435,242,30.8
Bay Path University,Longmeadow,400,0,0,0.0
Dean College,Franklin,1001,72,40,11.1
Westfield State University,Westfield,2745,124,69,7.0
College of Our Lady of the Elms,Chicopee,405,95,67,40.0
Springfield College,Springfield,2144,568,291,40.0
American International College,Springfield,860,214,130,40.0
Western New England University,Springfield,2000,80,45,6.2
University of Massachusetts Dartmouth,North Dartmouth,4018,713,396,27.6
Bard College at Simon's Rock,Great Barrington,400,0,0,0.0
College of the Holy Cross,Worcester,2507,0,0,0.0
Curry College,Milton,1543,397,220,39.9
Tufts University,Medford,3695,710,394,29.8
Newbury College,Brookline,322,87,42,40.0
Boston College,Chestnut Hill,5635,0,0,0.0
Harvard University,Boston,320,32,26,18.1
Harvard College,Cambridge,13254,109,54,1.2
Boston University,Boston,11524,230,127,3.0
Wentworth Institute of Technology,Boston,2193,566,311,39.9
Simmons College,Boston,1098,266,173,39.9
Northeastern University,Boston,9517,776,456,12.9
Emmanuel College,Boston,1395,379,179,40.0
Clark University,Worcester,1664,30,16,2.7
Mount Holyoke College,South Hadley,2193,165,91,11.6
Worcester State University,Worcester,1577,195,93,18.2
Becker College,Worcester,866,197,149,39.9
Eastern Nazarene College,Quincy,594,156,82,40.0
Worcester Polytechnic Institute,Worcester,2240,592,304,40.0
Wellesley College,Wellesley,2209,101,56,7.1
Franklin W. Olin College of Engineering,Needham,354,0,0,0.0
Assumption College,Worcester,1859,0,0,0.0
Framingham State University,Framingham,1978,289,161,22.7
Babson College,Wellesley,1890,311,172,25.5
Hellenic College/Holy Cross,Brookline,255,54,47,39.6
Pine Manor College,Chestnut Hill,450,128,52,40.0
Smith College,Northampton,2397,88,49,5.7
Hampshire College,Amherst,1182,0,0,0.0
Anna Maria College,Paxton,634,0,0,0.0
Bentley University,Waltham,3421,231,128,10.4
Lasell College,Newton,1325,167,93,19.6
Regis College,Weston,774,0,0,0.0
Emerson College,Boston,1953,500,282,40.0
Suffolk University,Boston,1653,440,221,39.9
Massachusetts Institute of Technology,Cambridge,5975,101,75,2.9
Brandeis University,Waltham,2950,30,16,1.5
Amherst College,Amherst,1837,0,0,0.0
Lesley University,Cambridge,888,230,125,39.9
Montserrat College of Art,Beverly,290,73,43,40.0
Endicott College,Beverly,2547,80,42,4.7
Fitchburg State University,Fitchburg,1732,304,169,27.3
Gordon College,Wenham,1572,50,28,4.9
Gordon-Conwell Theological Seminary,South Hamilton,364,70,39,29.9
University of Massachusetts Lowell,Lowell,4800,497,277,16.1
Merrimack College,North Andover,2613,299,166,17.7
Massachusetts College of Liberal Arts,North Adams,1020,0,0,0.0
Williams College,Williamstown,2014,188,104,14.4
Northpoint Bible College,Haverhill,500,129,71,40.0
Salem State University,Salem,2282,295,165,20.1
